timestamp,x,y,confianca
1780362299114409435,0,2,1
1780362299314466108,0.063144,2.00185,0.909631
1780362299414478204,0.112409,2.0033,0.928767
1780362299514481175,0.16818,2.00493,0.919746
1780362299614487948,0.229093,2.00671,0.912681
1780362299714454507,0.293945,2.0086,0.907304
1780362299814487150,0.361115,2.01055,0.904155
1780362299914487618,0.430202,2.01255,0.901557
1780362300014590776,0.515856,2.01501,0.879431
1780362300114488635,0.574018,2.01666,0.916455
1780362300214478872,0.64786,2.01876,0.895151
1780362300314481816,0.722787,2.02086,0.893695
1780362300414482043,0.798741,2.02297,0.892319
1780362300514561120,0.875344,2.02507,0.891451
1780362300614565436,0.953018,2.02717,0.89002
1780362300714474669,1.03145,2.02927,0.889005
1780362300814475576,1.11065,2.03135,0.887994
1780362300914451078,1.19099,2.03342,0.886464
1780362301014482721,1.27151,2.03546,0.886225
1780362301114467601,1.35283,2.03748,0.885168
1780362301217315225,1.43522,2.03947,0.883744
1780362301314455558,1.48079,2.04056,0.933926
1780362301414491293,1.54651,2.04209,0.906129
1780362301514513536,1.61745,2.04372,0.899056
1780362301614462344,1.69355,2.04541,0.892127
1780362301714456151,1.77341,2.04714,0.887108
1780362301814489373,1.85599,2.04887,0.883489
1780362301914491306,1.94042,2.05058,0.881051
1780362302014480204,2.02595,2.05224,0.879588
1780362302114507588,2.11292,2.05387,0.877701
1780362302214594286,2.20031,2.90543,0.877146
1780362302314456630,2.28869,2.90693,0.875835
1780362302414457026,2.35408,2.90799,0.906579
1780362302514463911,2.41285,2.90891,0.915614
1780362302614457786,2.46574,2.90971,0.92373
1780362302714458838,2.51547,2.91043,0.928119
1780362302814466165,2.56287,2.9111,0.931366
1780362302914505062,2.60836,2.91172,0.934039
1780362303014491105,2.65277,2.9123,0.935565
1780362303114511442,2.6964,2.91285,0.936652
1780362303214501105,2.73926,2.91337,0.937734
1780362303314496257,2.78125,2.91386,0.938958
1780362303414549365,2.82312,2.91434,0.939124
1780362303514498978,2.86448,2.91479,0.939845
1780362303614577119,2.91329,2.91529,0.929393
1780362303714557038,2.9533,2.91569,0.941748
1780362303914495319,3.02495,2.91635,0.8981
1780362304014614071,3.07228,2.91676,0.931471
1780362304214454364,3.14247,2.91733,0.900067
1780362304414492096,3.21875,2.91788,0.891886
1780362304614625544,3.30228,2.91841,0.882239
1780362304814519251,3.37027,2.91879,0.90304
1780362305014455142,3.4447,2.06915,0.89436
1780362305114490820,3.49636,2.06936,0.925431
1780362305214460225,3.56028,2.06959,0.908586
1780362305314457282,3.63114,2.06979,0.899159
1780362305414456307,3.7062,2.06995,0.893514
1780362305514589591,3.80023,2.07006,0.868447
1780362305614494179,3.86476,2.07009,0.907749
1780362305714521140,3.947,2.07006,0.883951
1780362305814525901,4.03037,2.06997,0.882446
1780362305914458703,4.11455,2.0698,0.881369
1780362306014472111,4.19954,2.06957,0.880308
1780362306114472260,4.28561,2.06927,0.878883
1780362306214488725,4.37249,2.0689,0.877821
1780362306314489636,4.45974,2.06846,0.877322
1780362306414488533,4.54772,2.06796,0.876363
1780362306514469069,4.63577,2.06739,0.876278
1780362306614460084,4.72474,2.06675,0.875067
1780362306714494005,4.8139,2.06605,0.87482
1780362306814462330,4.90356,2.0653,0.874157
1780362306914486321,4.99387,2.06448,0.873309
1780362307014455470,5.08402,2.06361,0.873528
1780362307114492003,5.17449,2.0627,0.873097
1780362307214469047,5.26523,2.06173,0.872741
1780362307314488815,5.35658,2.06071,0.871947
1780362307414490312,5.4484,2.05965,0.871337
1780362307514494034,5.54007,2.05856,0.871537
1780362307614455170,5.63204,2.05743,0.871135
1780362307714455457,5.72367,2.05627,0.871585
1780362307814488150,5.81558,2.05509,0.871205
1780362307914494884,5.90753,2.05388,0.871171
1780362308014456037,5.99924,2.05266,0.871482
1780362308114505223,6.09135,1.40142,0.870947
1780362308214461481,6.18322,1.40018,0.871268
1780362308314455919,6.25764,1.39917,0.894373
1780362308414489029,6.32011,1.39831,0.910561
1780362308514477832,6.37594,1.39755,0.919668
1780362308614452645,6.42874,1.39683,0.923847
1780362308714488102,6.47928,1.39614,0.926996
1780362308814453320,6.52794,1.39548,0.929608
1780362308914453730,6.57461,1.39485,0.932393
1780362309014453569,6.62021,1.39424,0.933881
1780362309114485448,6.66483,1.39364,0.935264
1780362309214485241,6.70874,1.39306,0.936255
1780362309314486253,6.75244,1.39248,0.936556
1780362309414484526,6.79548,1.39191,0.937472
1780362309514454101,6.83799,1.39136,0.938231
1780362309614482634,6.87981,1.39081,0.939197
1780362309714459380,6.9216,1.39028,0.939232
1780362309814455495,6.9625,1.38975,0.940493
1780362309914489536,7.00324,1.38924,0.940726
1780362310014492342,7.04349,1.38874,0.941413
1780362310214496863,7.1232,2.03776,0.887307
1780362310414492241,7.22159,2.03658,0.862789
1780362310514460878,7.28952,2.03579,0.903125
1780362310614492427,7.36356,2.03495,0.894884
1780362310714461916,7.44131,2.03409,0.889918
1780362310814461008,7.52195,2.03324,0.886065
1780362310914494495,7.60526,2.03239,0.882537
1780362311014496033,7.68997,2.03157,0.880668
1780362311114488687,7.7758,2.03077,0.879195
1780362311214492253,7.86225,2.03002,0.878381
1780362311314455508,7.94972,2.0293,0.877041
1780362311414549054,8.03775,2.02863,0.876306
1780362311514455766,8.12595,2.02801,0.876076
1780362311614461778,8.21471,2.02743,0.87534
1780362311714487284,8.30419,2.02691,0.874396
1780362311814455298,8.39411,2.02645,0.873824
1780362311914460804,8.48459,2.02604,0.873089
1780362312014457063,8.57545,2.02569,0.872593
1780362312114466639,8.66654,2.0254,0.872284
1780362312214554527,8.75815,2.02517,0.871614
1780362312314455676,8.85018,2.02501,0.871059
1780362312414474769,8.94184,2.02491,0.871542
1780362312514487954,9.03392,2.02488,0.870995
1780362312614455292,9.12576,2.02491,0.871307
1780362312714455947,9.21761,2.02501,0.871285
1780362312814455347,9.30974,2.02517,0.870928
1780362312914491217,9.4015,2.02539,0.87142
1780362313014492688,9.49352,2.02568,0.871069
1780362313114455927,9.58555,2.02603,0.871059
1780362313214454898,9.67733,2.02644,0.87139
1780362313314488194,9.7695,2.02692,0.870874
1780362313414457818,9.86142,2.02745,0.871208
1780362313514458440,9.95334,2.02803,0.871204
1780362313614489802,10.0455,2.02867,0.870861
1780362313714455326,10.1373,2.02936,0.871366
