task_name,period_ms,cycle_num,scheduled_ns,actual_ns,exec_end_ns
DistanceCalc,20,883,2810292335697,2810292348218,2810292348596
NavCommand,80,221,2810312293075,2810312303531,2810312304975
DistanceCalc,20,884,2810312335697,2810312343332,2810312343551
NavControl,80,221,2810313195935,2810313205109,2810313205796
SurfaceRecon,100,177,2810332283239,2810332295178,2810332301826
DistanceCalc,20,885,2810332335697,2810332343069,2810332343271
DataIMU,0,171,2810332309649,2810332309649,2810332398655
DistanceCalc,20,886,2810352335697,2810352345702,2810352345904
DistanceCalc,20,887,2810372335697,2810372344402,2810372344636
NavCommand,80,222,2810392293075,2810392301839,2810392302863
DistanceCalc,20,888,2810392335697,2810392344415,2810392344645
NavControl,80,222,2810393195935,2810393205780,2810393206351
DistanceCalc,20,889,2810412335697,2810412342792,2810412342941
SurfaceRecon,100,178,2810432283239,2810432292999,2810432299876
DistanceCalc,20,890,2810432335697,2810432342245,2810432342410
DataIMU,0,172,2810432307846,2810432307846,2810432401109
DistanceCalc,20,891,2810452335697,2810452344102,2810452344257
NavCommand,80,223,2810472293075,2810472302184,2810472303318
DistanceCalc,20,892,2810472335697,2810472343934,2810472344266
NavControl,80,223,2810473195935,2810473207441,2810473208361
DistanceCalc,20,893,2810492335697,2810492345420,2810492345558
DistanceCalc,20,894,2810512335697,2810512346464,2810512346629
SurfaceRecon,100,179,2810532283239,2810532294056,2810532301107
DistanceCalc,20,895,2810532335697,2810532343735,2810532343904
DataIMU,0,173,2810532309994,2810532309994,2810532407422
NavCommand,80,224,2810552293075,2810552301384,2810552302455
DistanceCalc,20,896,2810552335697,2810552345258,2810552345543
NavControl,80,224,2810553195935,2810553211524,2810553212552
DistanceCalc,20,897,2810572335697,2810572344709,2810572344887
DistanceCalc,20,898,2810592335697,2810592351291,2810592351482
DistanceCalc,20,899,2810612335697,2810612344350,2810612344551
NavCommand,80,225,2810632293075,2810632300159,2810632301210
SurfaceRecon,100,180,2810632283239,2810632294758,2810632301419
DistanceCalc,20,900,2810632335697,2810632344382,2810632344579
DataIMU,0,174,2810632309151,2810632309151,2810632401317
NavControl,80,225,2810633195935,2810633205378,2810633206099
DistanceCalc,20,901,2810652335697,2810652345537,2810652345716
DistanceCalc,20,902,2810672335697,2810672346675,2810672346840
DistanceCalc,20,903,2810692335697,2810692350112,2810692351242
NavCommand,80,226,2810712293075,2810712302455,2810712303571
DistanceCalc,20,904,2810712335697,2810712342978,2810712343131
NavControl,80,226,2810713195935,2810713205636,2810713206245
